id,title,latitude,longitude,category,content_type,text,author_or_source,source_title,source_url,location_name,tags,confidence,notes_internal
paris_001,Paris (City),48.8566,2.3522,literature,quote,"If you are lucky enough to have lived in Paris as a young man... it stays with you.","Ernest Hemingway","A Moveable Feast","https://en.wikiquote.org/wiki/Paris","Paris","city;memory;literature","verified","Copyrighted; keep short excerpt / consider paraphrase for commercial use"
paris_002,Paris (City),48.8566,2.3522,history,fact,"Paris was originally a Roman settlement known as Lutetia.","Historical source","History of Paris","https://en.wikipedia.org/wiki/History_of_Paris","Paris","city;history","verified","Safe factual anchor"
paris_003,Seine River (Central),48.8566,2.3522,history,fact,"The Seine structures Paris culturally into Left Bank and Right Bank as well as geographically.","General reference","Seine / Paris geography","https://en.wikipedia.org/wiki/Seine","Seine (central)","river;history;walking","verified","Good universal context card"
paris_004,Eiffel Tower,48.8584,2.2945,history,fact,"Built for the 1889 Exposition Universelle, the Eiffel Tower was controversial at first.","Tour Eiffel (official)","Eiffel Tower history","https://www.toureiffel.paris/en","Eiffel Tower","landmark;engineering;history","verified",""
paris_005,Eiffel Tower (attributed line),48.8584,2.2945,literature,quote,"Paris is not a city; it’s a world.","Attributed (debated)","Paris quotations","https://en.wikiquote.org/wiki/Paris","Eiffel Tower","landmark;identity","attributed","Attribution debated; label clearly"
paris_006,Louvre Museum,48.8606,2.3376,history,fact,"The Louvre began as a medieval fortress before becoming a royal palace and then a museum.","Musée du Louvre","Museum history","https://www.louvre.fr/en","Louvre","museum;history","verified",""
paris_007,Louvre Museum (art line),48.8606,2.3376,literature,quote,"Art is not what you see, but what you make others see.","Edgar Degas","Degas quotations","https://en.wikiquote.org/wiki/Edgar_Degas","Louvre","museum;art","verified","Contextual to art; not location-specific"
paris_008,Notre-Dame Cathedral,48.8530,2.3499,literature,quote,"Great buildings are the work of centuries.","Victor Hugo","Victor Hugo quotations","https://en.wikiquote.org/wiki/Victor_Hugo","Notre-Dame","cathedral;literature;history","verified","Strong place-text association via Hugo"
paris_009,Notre-Dame Cathedral,48.8530,2.3499,history,fact,"Notre-Dame’s construction spanned roughly the 12th to 14th centuries.","General reference","Notre-Dame de Paris","https://en.wikipedia.org/wiki/Notre-Dame_de_Paris","Notre-Dame","cathedral;architecture;history","verified",""
paris_010,Île de la Cité,48.8546,2.3477,history,fact,"Île de la Cité is among the historical cores of Paris’ earliest urban development.","General reference","Île de la Cité","https://en.wikipedia.org/wiki/%C3%8Ele_de_la_Cit%C3%A9","Île de la Cité","island;history","verified",""
paris_011,Île Saint-Louis,48.8511,2.3560,fun_fact,fact,"Île Saint-Louis is known for its quiet streets and classic 17th-century atmosphere.","General reference","Île Saint-Louis","https://en.wikipedia.org/wiki/%C3%8Ele_Saint-Louis","Île Saint-Louis","island;walking","verified",""
paris_012,Sainte-Chapelle,48.8554,2.3450,history,fact,"Sainte-Chapelle is famous for its high stained-glass windows built for royal relics.","General reference","Sainte-Chapelle","https://en.wikipedia.org/wiki/Sainte-Chapelle","Sainte-Chapelle","gothic;history","verified",""
paris_013,Conciergerie,48.8553,2.3455,history,fact,"The Conciergerie served as a prison during the French Revolution.","General reference","Conciergerie","https://en.wikipedia.org/wiki/Conciergerie","Conciergerie","revolution;history","verified",""
paris_014,Pont Neuf,48.8570,2.3419,history,fact,"Despite its name, Pont Neuf is the oldest standing bridge across the Seine in Paris.","General reference","Pont Neuf","https://en.wikipedia.org/wiki/Pont_Neuf","Pont Neuf","bridge;history","verified",""
